# 来自 rime_kaomoji_dict (https://github.com/aoguai/rime_kaomoji_dict)
# 整理为不重复的 关键词<TAB>颜文字；同一关键词可对应多个颜文字
quan	(╬￣皿￣)＝○＃(￣＃)３￣)
拳	(╬￣皿￣)＝○＃(￣＃)３￣)
么么	(╯ε╰)
fan zhuo	(╯′□｀)╯ ┫:·'∵:.┻┻:·'.:┣∵·:. ┳┳☆
fan zhuo	(╯‵□′)╯""┻━┻☆))>○<)
zha dan	(╯‵□′)╯炸弹！···*～●
zha dan	(╯‵□′)╯炸弹！•••*～●
炸弹	(╯‵□′)╯炸弹！•••*～●
xiang	(╯▽╰ ) 好香~~
hao xiang	(╯▽╰ )好香~~
好香	(╯▽╰ )好香~~
恭喜	(◆゜∀゜）b
zhen jing	(○´･д･)ﾉ
震惊	(○´･д･)ﾉ
bqlz	(◎_x)
hei hei	(●⁰౪⁰●)
da bai	(●─●)
xiu	(◕ฺ‿◕ฺ✿ฺ)
zi lian	(◡ᴗ◡✿)
自恋	(◡ᴗ◡✿)
xia	(☄⊙ω⊙)☄
吓	(☄⊙ω⊙)☄
wu shi	(☆-ｖ-)
无视	(☆-ｖ-)
fu e	(☆´益`)c
扶额	(☆´益`)c
qi dai	(☆▽☆)
wa	(☆＿☆)
xingxingyan	(☆ｗ☆)
en en	(♡˙︶˙♡)
en	(✩´•௰•`✩)
hai xiu	(✿◡‿◡)
害羞	(✿◡‿◡)
hua chi	(❤´艸｀❤)
花痴	(❤´艸｀❤)
眯眼笑	(　^ω^)
zen me	(　´∀｀)・ω・) ゜Д゜)・∀・)￣ー￣)
贴贴	(　ˇωˇ )◕∀◕｡)^ω^)
闭目养神	(　ˇωˇ)
kai xin	(　‘◟ ‘)✧
转圈	(　↺ω↺)
oye	(　ﾟ∀ﾟ) ﾉ♡
噢耶	(　ﾟ∀ﾟ) ﾉ♡
chi yao	(。>︿<)_θ[吃药]
da ji	(。_。)
hao ba	(。_。)
shi luo	(。_。)
受打击委屈	(。_。)
di tou	(。_。) [低头]
shi luo	(。_。) [失落]
zai jian	(。・_・)/~~~
再见啦	(。・_・)/~~~
zai jian	(。・_・)/~~~またね～
tong yi	(。・∀・)ノ
同意	(。・∀・)ノ
ruo	(。・・)ノ
ruo ruo	(。・・)ノ
弱	(。・・)ノ
di tou	(。﹏。)
低头	(。﹏。)
di tou	(。﹏。) [低头]
e	(。﹏。*)
wo cuo le	(。﹏。*)
我错了	(。﹏。*)
wo cuo le	(。﹏。*) 我错了……
哈哈	(〃'▽'〃)
害羞	(〃∀〃)
ke wu	(〃＞目＜)
可恶	(〃＞目＜)
ji zhang	(〃￣︶￣)人(￣︶￣〃)[击掌]
o	(〓￣(∵エ∵)￣〓)
ben dan	(っ*´Д`)っ
笨蛋	(っ*´Д`)っ
qiu qiu ni	(っ´Ι`)っ
亲亲你	(っ´Ι`)っ
干杯	(つ ᰩ ᭄ ⊂)
mian	(つω｀)～
眠	(つω｀)～
捂脸	(つд⊂)
qu	(づ￣ 3￣)づ...去去去~
ha ha ha	(゜∀。)
xin shen bu ning	(゜゜ )心(。。)神(゜゜ )不(。。)宁"...
tao yan	(ノω<。)ノ))☆.。
讨厌啦	(ノω<。)ノ))☆.。
tao yan	(ノω<。)ノ))☆.。讨厌啦~
qu si	(ノ‥)ノ‥‥〓〓〓〓☆ピーーーー
擦眼泪	(ノへ`、)
ca yan lei	(ノへ￣、)
chou qi	(ノへ￣、)
tat	(ノへ￣、)
擦眼泪	(ノへ￣、)
chou qi	(ノへ￣、)[抽泣]
tat	(ノへ￣、)[抽泣]
ca yan lei	(ノへ￣、)[擦眼泪……]
举高高	(ノﾟ∀ﾟ)ノ
da gai	(・-・*)
hao ba	(・-・*)
大概	(・-・*)
ni hao	(・_・)ノいよぅ
盯	(・ω・)
yi	(・∀・(・∀・(・∀・*)
哈	(・∀・)
嗯	(・ー・)
sheng qi	(ー`´ー)
生气	(ー`´ー)
皱眉	(ー`´ー)
qie	(ーー゛)
qu	(ーー゛)
去	(ーー゛)
我勒个去	(ーー゛)
bai	(ㄏ￣▽￣)ㄏbyeㄟ(￣▽￣ㄟ)
拜拜	(ㄏ￣▽￣)ㄏbyeㄟ(￣▽￣ㄟ)
han	(寒￣ii￣)彡…彡…彡
森气的兵长	(屮눈皿눈)
zao an	(朝´∀｀)｛♪Good Morning♪｝(´∀｀朝)
讲话的兵长	(눈0눈)
兵长一米六	(눈160눈)
bing zhang	(눈_눈)
兵长颜文字	(눈_눈)
卖萌的兵长	(눈~눈)
傲娇兵长	(눈▂눈)
不正常的兵长	(눈▽눈)
变成小鸡了的兵长	(눈◇눈)
蓄力中的兵长	(눈益눈)
安静	(︶.̮︶✽)
zhi	(﹁ ﹁ )σ[那边那个]
wei guan	(﹁"﹁)
xie y	(﹁"﹁)
xie yan	(﹁"﹁)
ha	(＃°Д°)
wu yan	(－∀＝)
无言	(－∀＝)
di tou	(．_．〃）ゝ…
ano	(．． )"~えっと、あのぉ・・・
na ge	(．． )…
那个	(．． )…
xian zhuo	(／‵Д′)／~ ╧╧
heng	(；′⌒`)
heng heng	(；′⌒`)
shang xin	(；′⌒`)
伤心	(；′⌒`)
哼哼	(；′⌒`)
bie	(＞﹏＜)
bie ju	(＞﹏＜)
bu dong	(＠_＠;)
不懂	(＠_＠;)
晕了不懂	(＠_＠;)
bu dong	(＠_＠;)? [不懂]
kan hao ni o	(＠＾０＾)看好你哦！
heng heng	(＠￣ー￣＠)
哼哼	(＠￣ー￣＠)
你好	(＾o＾)ﾉ
ye	(＾－＾)V
欧耶	(＾－＾)V
yo	(＾Ｕ＾)ノ~ＹＯ
哟	(＾Ｕ＾)ノ~ＹＯ
侧脸杀	(｀・ω)
盯	(｀･ω･)
kun le	(～ o ～)~zZ
piao	(～o￣3￣)～
漂	(～o￣3￣)～
lai la	(～o￣▽￣)～o ~。。。
我来了	(～o￣▽￣)～o ~。。。
滚来滚去	(～o￣▽￣)～o 。。。
gun	(～o￣▽￣)～o 。。。滚来滚去……o～(＿△＿o～) ~。。。
ben	(～￣(OO)￣)ブ
笨	(～￣(OO)￣)ブ
chuo	(～￣▽￣)→))*￣▽￣*)o [手指戳戳]
piao	(～￣▽￣)～
nan guo	(｡í _ ì｡)
shi luo	(｡í _ ì｡)
heng	(｡ŏ_ŏ)
nu	(｡•ˇ‸ˇ•｡)
bu kai xin	(｡•́︿•̀｡)
wu	(｡•ㅅ•｡)♡
哇	(｡◕∀◕｡)
你好	(｡･ω･｡)ﾉ
hai	(｡･∀･)ﾉﾞ
嗨	(｡･∀･)ﾉﾞ
指你	(ﾉ#)`д´)σ
肥肥	(ﾉ)`ω´(ヾ)
tui dao	(ﾉ*･ω･)ﾉ
推倒	(ﾉ*･ω･)ﾉ
fan dui	(ﾟДﾟ*)ﾉ
我反对	(ﾟДﾟ*)ﾉ
zai jian	(ﾟ∇^*)
shi a	(ﾟｰﾟ)
是啊同意	(ﾟｰﾟ)
嗯	(￣ . ￣)
bi ti	(￣ ii ￣;) (￣＂￣;)
bi ti	(￣ ‘i ￣;)
鼻涕虫	(￣ ‘i ￣;)
yo	(￣(エ)￣)ノ よー
xie y	(￣.￣)+
嘟嘴	(￣3￣)
bu xie	(￣_,￣ )
mie shi	(￣_,￣ )
不屑	(￣_,￣ )
qie	(￣_,￣ =)>
han	(￣_￣|||)
shi ma	(￣m￣）
是么	(￣m￣）
kun	(￣o￣) . z Z
kun le	(￣o￣) . z Z
困了	(￣o￣) . z Z
ai yo	(￣y▽,￣)╭ 哎哟哟……
ho ho	(￣y▽￣)╭ Ohohoho.....
fu fu	(￣ˇ￣)v
pia	(￣ε(#￣)☆╰╮o(￣▽￣///)
chou	(￣ε(#￣)☆╰╮o(￣皿￣///)
扇耳光	(￣ε(#￣)☆╰╮o(￣皿￣///)
抽	(￣ε(#￣)☆╰╮o(￣皿￣///)
哈哈	(￣∇￣)
hao re	(￣∇￣;)
gui lian	(￣┰￣*)
tu she tou	(￣┰￣*)
鬼脸	(￣┰￣*)
dai	(￣△￣；)
dai zhi	(￣△￣；)
呆滞	(￣△￣；)
han	(￣▽￣")
hh	(￣▽￣")
ni hao	(￣▽￣)ノ
gan bei	(￣▽￣)～■干杯□～(￣▽￣)
干杯	(￣▽￣)～■干杯□～(￣▽￣)
han	(￣▽￣|||)
ying gou bi	(￣ム￣) [鹰钩鼻]
dai	(￣旦￣；)
生气	(￣皿￣)
